Aufgabe ID;Feedback Lehrer;Korrektur
69;;Stellenangabe berichtigt: Sure 72:14 → 72:15
582;;Antwort Fatha → Fatha+Damma
587;Kein Qalqala;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
590;2 Qalqala, also 2 Antworten;Antwort Fatha → Fatha+Kasra
592;s. o.;Antwort Fatha → Fatha+Kasra
603;Kein Qalqala;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
619;s. o.;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
633;Antwort falsch;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „ja“ bleibt richtig"
634;Kein Qalqala;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Fatha“ bleibt richtig"
635;s. o.;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
640;Antwort falsch;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „ja“ bleibt richtig"
646;s. o.;Antwort Fatha+Kasra → Fatha
648;s. o.;Antwort Fatha+Kasra → Fatha
651;Kein Qalqala;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
654;Noch eine Antwortmöglichkeit;Antwort Fatha → Fatha+Damma
667;Kein Qalqala;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
683;s. o.;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
691;s. o.;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
699;s. o.;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
715;s. o.;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
731;s. o.;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
734;Noch eine Antwortmöglichkeit;Antwort Fatha → Fatha+Kasra
735;;Antwort 0 → 1
739;Kein Qalqala;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
747;s. o.;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
755;s. o.;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
774;Noch eine Antwortmöglichkeit;Antwort Kasra → Fatha+Kasra
779;Kein Qalqala;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
795;s. o.;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
811;s. o.;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
819;s. o.;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
827;s. o.;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
831;Antwort falsch;Antwort 0 → 1
840;Noch eine Antwortmöglichkeit;Antwort Fatha → Fatha+Damma
856;s. o.;Antwort Fatha → Fatha+Kasra
859;Kein Qalqala;"Unverändert – am Versende (Versnummer dahinter) entsteht beim Anhalten Qalqala; „Ende“ bleibt richtig"
